trans_datetime,merchant,category,amt,gender,state,job,trans_num,is_fraud
1/1/2019 0:00,"fraud_Rippin, Kub and Mann",misc_net,4.97,F,NC,"Psychologist, counselling",0b242abb623afc578575680df30655b9,0
1/1/2019 0:00,"fraud_Heller, Gutmann and Zieme",grocery_pos,107.23,F,WA,Special educational needs teacher,1f76529f8574734946361c461b024d99,0
1/1/2019 0:00,fraud_Lind-Buckridge,entertainment,220.11,M,ID,Nature conservation officer,a1a22d70485983eac12b5b88dad1cf95,0
1/1/2019 0:01,"fraud_Kutch, Hermiston and Farrell",gas_transport,45,M,MT,Patent attorney,6b849c168bdad6f867558c3793159a81,0
1/1/2019 0:03,fraud_Keeling-Crist,misc_pos,41.96,M,VA,Dance movement psychotherapist,a41d7549acf90789359a9aa5346dcb46,0
1/1/2019 0:04,"fraud_Stroman, Hudson and Erdman",gas_transport,94.63,F,PA,Transport planner,189a841a0a8ba03058526bcfe566aab5,0
1/1/2019 0:04,fraud_Rowe-Vandervort,grocery_net,44.54,F,KS,Arboriculturist,83ec1cc84142af6e2acf10c44949e720,0
1/1/2019 0:05,fraud_Corwin-Collins,gas_transport,71.65,M,VA,"Designer, multimedia",6d294ed2cc447d2c71c7171a3d54967c,0
1/1/2019 0:05,fraud_Herzog Ltd,misc_pos,4.27,F,PA,Public affairs consultant,fc28024ce480f8ef21a32d64c93a29f5,0
1/1/2019 0:06,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,198.39,F,TN,Pathologist,3b9014ea8fb80bd65de0b1463b00b00e,0
1/1/2019 0:06,fraud_Rutherford-Mertz,grocery_pos,24.74,M,IA,IT trainer,d71c95ab6b7356dd74389d41df429c87,0
1/1/2019 0:06,fraud_Kerluke-Abshire,shopping_net,7.77,F,WV,Systems developer,3c74776e558f1499a7824b556e474b1d,0
1/1/2019 0:06,fraud_Lockman Ltd,grocery_pos,71.22,M,FL,"Engineer, land",c1d9a7ddb1e34639fe82758de97f4abf,0
1/1/2019 0:07,fraud_Kiehn Inc,grocery_pos,96.29,M,CA,Systems analyst,413636e759663f264aae1819a4d4f231,0
1/1/2019 0:09,fraud_Beier-Hyatt,shopping_pos,7.77,M,NM,Naval architect,8a6293af5ed278dea14448ded2685fea,0
1/1/2019 0:09,fraud_Schmidt and Sons,shopping_net,3.26,M,NJ,"Radiographer, diagnostic",baae0b096835c975857eea7e28dde3dc,0
1/1/2019 0:10,fraud_Lebsack and Sons,misc_net,327,F,OK,"Programme researcher, broadcasting/film/video",991c04803b4d4eeab30d6245a872e3d3,0
1/1/2019 0:10,fraud_Mayert Group,shopping_pos,341.67,M,IN,Energy engineer,f12cf52be2175703db789a4644c32f25,0
1/1/2019 0:11,"fraud_Konopelski, Schneider and Hartmann",food_dining,63.07,M,PA,Event organiser,8500f3d459047eac8443307b1e8296e5,0
1/1/2019 0:12,"fraud_Schultz, Simonis and Little",grocery_pos,44.71,M,NJ,Operational researcher,09eff9c806365e2a6be12c1bbab3d70e,0
